2014-10-16 01:11:31,732 INFO  - Application started.
2014-10-16 01:11:34,239 INFO  - Config file loaded.
2014-10-16 01:11:35,096 INFO  - Database connection successful (localhost:3306/genericdwh).
2014-10-16 01:11:35,097 INFO  - Config file saved.
2014-10-16 01:11:40,602 INFO  - Executing Query ...
2014-10-16 01:11:40,603 INFO  - Query parameters - Column Dimensions: [Jahre], Row Dimensions: [Länder, Angestellte], Filtered Reference Objects: [], Ratios: []
2014-10-16 01:11:40,634 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 1 and `reference_objects`.`dimension_id` = 7)
2014-10-16 01:11:40,636 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 2 and `reference_objects`.`dimension_id` = 7)
2014-10-16 01:11:40,667 INFO  - Executed SQL: select `facts`.`ratio_id`, `facts`.`reference_object_id`, `facts`.`value`, `facts`.`unit_id`, `reference_objects`.`reference_object_id`, `reference_objects`.`dimension_id`, `reference_objects`.`name`, `reference_object_combinations`.`aggregate_id`, `reference_object_combinations`.`component_id` from `facts` join `reference_objects` on `facts`.`reference_object_id` = `reference_objects`.`reference_object_id` join `reference_object_combinations` on `facts`.`reference_object_id` = `reference_object_combinations`.`aggregate_id` where (`facts`.`ratio_id` = 3 and `reference_objects`.`dimension_id` = 7)
2014-10-16 01:11:40,669 INFO  - Query executed successfully.
2014-10-16 01:11:44,436 INFO  - Application exited.
